ip_dst;packets;bytes_total
BP-Linux8;5798;6919336
184.107.43.74;2000;240000
www.aggloroanne.fr;1022;82997
mauves.univ-st-etienne.fr;751;24930
par10s38-in-f3.1e100.net;255;15111
par21s23-in-f3.1e100.net;200;5989
par21s17-in-f1.1e100.net;176;5616
par21s23-in-f10.1e100.net;85;1860
par21s04-in-f4.1e100.net;79;6931
192.168.190.130;60;5940
par21s17-in-f14.1e100.net;56;1597
par21s20-in-f14.1e100.net;53;1812
par21s05-in-f131.1e100.net;39;3023
91.121.37.244;27;1661
par21s11-in-f10.1e100.net;25;1120
par10s40-in-f3.1e100.net;17;1549
par21s11-in-f14.1e100.net;17;887
par21s18-in-f3.1e100.net;16;1552
201.181.244.35.bc.googleusercontent.com;16;998
par21s20-in-f10.1e100.net;15;800
par21s20-in-f2.1e100.net;6;510
93.184.220.29;6;429
lhr25s01-in-f2.1e100.net;6;415
82.221.107.34.bc.googleusercontent.com;6;286
par21s23-in-f2.1e100.net;5;457
server-54-230-114-7.mrs52.r.cloudfront.net;5;0
server-54-230-114-73.mrs52.r.cloudfront.net;5;0
104.18.31.182;4;431
server-54-230-114-122.mrs52.r.cloudfront.net;2;46
par21s22-in-f14.1e100.net;2;46
mad01s26-in-f174.1e100.net;2;46
par10s40-in-f14.1e100.net;2;46
par21s12-in-f14.1e100.net;2;46
par10s28-in-f14.1e100.net;2;46
ec2-35-166-112-194.us-west-2.compute.amazonaws.com;2;0
ec2-34-211-70-226.us-west-2.compute.amazonaws.com;2;0
