port_dst;packets;bytes_total
https;2853;157068
http;2055;244169
34862;827;877867
53324;499;678573
40682;400;555111
53325;385;526829
40678;383;533277
53328;332;451787
53329;324;441026
53326;318;433336
40684;300;416321
40680;296;411283
53327;272;370660
41767;223;204746
40679;162;219400
40683;119;157452
53478;104;116935
53416;83;71729
41372;72;86000
ssh;66;248
53440;62;66341
50245;55;5616
48264;35;36033
33251;33;26129
34595;28;8653
40686;27;28447
53480;25;17981
53417;25;14689
43668;24;26489
53481;23;17415
41373;23;10819
53418;22;12792
48896;22;9793
59822;21;8838
53419;20;13575
39653;19;6465
54055;16;7178
53421;15;7812
53420;15;7811
48265;15;7021
42539;14;4832
33253;13;4866
53479;13;4656
53482;13;4655
53483;11;4655
55498;10;647
35207;10;424
37231;9;2808
33513;8;482
37257;6;1403
34621;6;799
37256;6;702
43717;5;220
42612;5;0
51712;5;0
50019;4;288
35405;3;988
48782;2;46
37597;2;46
38906;2;46
55948;2;46
38328;2;46
55209;2;46
48702;2;31
54473;2;31
37255;2;0
37253;2;0
37254;2;0
41374;2;0
41375;2;0
50374;1;36
